"Entry","Positive","Strong","Active","Role","Negative","Weak","Passive","Object"
"LUCKILY","Positiv",,,,,,,
"LUCKY","Positiv",,,,,,"Passive",
"LUCRATIVE","Positiv",,,,,,,
"LUDICROUS",,,,,"Negativ",,,
"LUGGAGE",,,,,,,,"Object"
"LULL",,,,,"Negativ",,,
"LUMINOUS","Positiv",,,,,,,
"LUNATIC",,,,"Role","Negativ",,,
"LUNCH",,,,,,,,"Object"
"LUNCHEON",,,,,,,,"Object"
"LUNG",,,,,,,,
"LURE",,,"Active",,"Negativ",,,
"LURK",,,"Active",,"Negativ",,,
"LUST","Positiv",,,,,,,
"LUSTER","Positiv",,,,,,,
"LUSTROUS","Positiv",,,,,,,
"LUXEMBERG",,,,,,,,
"LUXURIANT","Positiv",,,,,,,
"LUXURIOUS","Positiv",,,,,,,
"LUXURY","Positiv",,,,,,,
"LYING#1",,,,,,,"Passive",
"LYING#2",,,"Active",,"Negativ",,,
"LYING#3",,,"Active",,"Negativ",,,
"LYRIC","Positiv",,,,,,,
"LYRICAL","Positiv",,,,,,,
"MA",,,,"Role",,,,
"MACHINE",,,,,,,,"Object"
"MACHINERY",,,,,,,,"Object"
"MAD#1",,,,,"Negativ",,"Passive",
"MAD#2",,,,,"Negativ","Weak","Passive",
"MAD#3",,,,,,,"Passive",
"MADAGASCAR",,,,,,,,
"MADAME",,,,"Role",,,,
"MADE#1",,,,,,,,
"MADMAN",,,,"Role","Negativ",,,
"MADNESS",,,,,"Negativ",,,
"MAGAZINE",,,,,,,,"Object"
"MAGIC",,,,,,,,
"MAGICAL","Positiv",,,,,,,
"MAGICIAN",,,,,,,,
"MAGNETIC","Positiv",,,,,,,
"MAGNIFICENCE","Positiv",,,,,,,
"MAGNIFICENT","Positiv","Strong",,,,,,
"MAGNIFY",,"Strong",,,,,,
"MAGNITUDE",,"Strong",,,,,,
"MAHOGANY",,,,,,,,"Object"
"MAID",,,,"Role",,,,
"MAIDEN",,,,,,,,
"MAIL#1",,,,,,,,"Object"
"MAIL#2",,,,,,,,
"MAIN#1","Positiv","Strong",,,,,,
"MAIN#2",,"Strong",,,,,,
"MAINE",,,,,,,,
"MAINLAND",,,,,,,,
"MAINTAIN#1",,"Strong","Active",,,,,
"MAINTAIN#2",,"Strong","Active",,,,,
"MAINTENANCE",,,,,,,,
"MAJESTIC","Positiv",,,,,,,
"MAJESTY","Positiv",,,,,,,
"MAJOR#1","Positiv","Strong",,,,,,
"MAJOR#2",,,,,,,,
"MAJOR#3",,,,,,,,
"MAJORITY",,"Strong",,,,,,
"MAKE#1",,"Strong","Active",,,,,
"MAKE#2",,"Strong","Active",,"Negativ",,,
"MAKE#3",,"Strong","Active",,,,,
"MAKE#4",,,"Active",,,,,
"MAKE#5",,,"Active",,,,,
"MAKE#6","Positiv",,"Active",,,,,
"MAKE#7","Positiv",,,,,,,
"MAKE#8",,"Strong","Active",,,,,
"MAKE#9",,,,,,,,"Object"
"MAKE#_10",,,,,,,,
"MAKE#_11",,,,,,,,
"MAKE#_12",,,,,,,,
"MAKE#_13",,,,,,,,
"MAKE#_14",,,,,,,,
"MAKE#_15",,,,,,,,
"MAKE#_16",,,,,,,,
"MAKER",,,,"Role",,,,
"MALADJUSTED",,,,,"Negativ","Weak",,
"MALADJUSTMENT",,,,,"Negativ","Weak",,
"MALADY",,,,,"Negativ","Weak",,
"MALAYA",,,,,,,,
"MALAYSIA",,,,,,,,
"MALE",,,,"Role",,,,
"MALI",,,,,,,,
"MALICE",,,,,"Negativ",,,
"MALICIOUS",,,,,"Negativ",,,
"MALIGNANT",,,,,"Negativ",,,
"MALTA",,,,,,,,
"MAMA",,,,"Role",,,,
"MAN#1",,,,"Role",,,,
"MAN#2",,,,,,,,
"MAN#3",,,,,,,,
"MANAGE#1",,"Strong","Active",,,,,
"MANAGE#2",,"Strong","Active",,,,,
"MANAGE#3",,"Strong","Active",,,,,
"MANAGEABLE","Positiv","Strong",,,,,,
"MANAGEMENT",,"Strong","Active",,,,,
"MANAGER",,"Strong",,"Role",,,,
"MANAGERIAL",,"Strong",,"Role",,,,
"MANCHESTER",,,,,,,,
"MANEUVER",,"Strong","Active",,,,,
"MANGLE",,,"Active",,"Negativ",,,
"MANIFEST#1",,,,,,,,
"MANIFEST#2",,,,,,,,
"MANIFESTATION",,,,,,,,
"MANIPULATE",,"Strong","Active",,"Negativ",,,
"MANIPULATION",,,,,"Negativ",,,
"MANKIND",,,,,,,,
"MANLY","Positiv","Strong",,,,,,
"MANNER#1",,,,,,,,
"MANNER#2",,,,,,,,
"MANNER#3",,,,,,,,
"MANNER#4",,,,,,,,
"MANOEUVRE#1",,,,,,,,
"MANPOWER",,"Strong",,,,,,
"MANSION",,,,,,,,
"MANSLAUGHTER",,,,,"Negativ",,,
"MANTLE",,,,,,,,"Object"
"MANUFACTURE",,"Strong","Active",,,,,
"MANUFACTURER",,"Strong",,"Role",,,,
"MANURE",,,,,,,,"Object"
"MANY#1",,"Strong",,,,,,
"MANY#2",,"Strong",,,,,,
"MAP",,,,,,,,"Object"
"MAPLE",,,,,,,,"Object"
"MAR#1",,"Strong","Active",,"Negativ",,,
"MAR#2",,"Strong","Active",,"Negativ",,,
"MARBLE",,,,,,,,"Object"
"MARCH#1",,,,,,,,
"MARCH#2",,"Strong","Active",,,,,
"MARCH#3",,"Strong","Active",,,,,
"MARCHER",,"Strong","Active","Role",,,,
"MARE",,,,,,,,
"MARGINAL",,,,,"Negativ",,,
"MARINE#1",,,,,,,,
"MARINE#2",,,,,,,,
"MARITAL","Positiv",,,,,,,
"MARITIME",,,,,,,,
"MARK#1",,,,,,,,"Object"
"MARK#2",,"Strong",,,,,,
"MARK#3",,,"Active",,,,,
"MARK#4",,,,,,,,
"MARK#5",,,,,,,,"Object"
"MARKER",,,,,,,,"Object"
"MARKET#1",,,,,,,,
"MARKET#2",,,"Active",,,,,
"MARKET#3",,,,,,,,
"MARKSMAN",,,,"Role",,,,
"MARRIAGE","Positiv",,,,,,,
"MARROW",,,,,,,,
"MARRY#1","Positiv",,,,,,,
"MARRY#2","Positiv",,,,,,,
"MARSH",,,,,,,,
"MARSHALL",,,,"Role",,,,
"MARSHALL-PLAN",,,,,,,,
"MARVEL","Positiv",,"Active",,,,,
"MARVELOUS","Positiv",,,,,,,
"MARXISM",,,,,,,,
"MARYLAND",,,,,,,,
"MASCULINE",,"Strong",,"Role",,,,
"MASS#1",,"Strong",,,,,,
"MASS#2",,"Strong",,,,,,
"MASS#3",,"Strong",,,,,,
"MASS#4",,,,,,,,
"MASSACHUSETTS",,,,,,,,
"MASSACRE",,,"Active",,"Negativ",,,
"MASSES",,,,,,,,
"MASSIVE",,"Strong",,,,,,
"MAST",,,,,,,,"Object"
"MASTER#1",,"Strong",,"Role",,,,
"MASTER#2",,"Strong","Active",,,,,
"MASTERFUL","Positiv","Strong",,,,,,
"MASTERY","Positiv","Strong",,,,,,
"MAT",,,,,,,,"Object"
"MATCH#1",,"Strong",,,,,,
"MATCH#2",,"Strong","Active",,,,,
"MATCHLESS","Positiv",,,,,,,
"MATE#1","Positiv",,,"Role",,,,
"MATE#2","Positiv",,,,,,,
"MATERIAL#1",,,,,,,,"Object"
"MATERIAL#2",,,,,,,,"Object"
"MATERIAL#3",,"Strong",,,,,,
"MATERNAL",,,,,,,,
"MATERNITY",,,,,,,,
"MATH",,,,,,,,
"MATHEMATICAL",,,,,,,,
"MATHEMATICS",,,,,,,,
"MATRICULATE",,,"Active",,,,,
"MATTER#1",,,,,,,,
"MATTER#2",,,,,,,,
"MATTER#3",,,,,,,,
"MATTER#4","Positiv","Strong",,,,,,
"MATTER#5",,,,,"Negativ",,,
"MATTER#6",,,,,,,,
"MATTER#7",,,,,,,,
"MATURE#1","Positiv","Strong",,,,,,
"MATURE#2","Positiv","Strong",,,,,,
"MATURE#3","Positiv","Strong",,,,,,
"MATURITY","Positiv","Strong",,,,,,
"MAURITIUS",,,,,,,,
"MAXIM",,,,,,,,
"MAXIMIZATION",,"Strong",,,,,,
"MAXIMIZE","Positiv",,"Active",,,,,
"MAXIMUM",,"Strong",,,,,,
"MAY#1",,,,,,,,
"MAY#2",,,,,,,,
"MAYBE",,,,,,,,
"MAYOR",,"Strong",,"Role",,,,
"MCGOVERN",,,,,,,,
"ME",,,,,,,,
"MEAGER",,,,,"Negativ","Weak",,
"MEAL",,,,,,,,"Object"
"MEAN#1",,,"Active",,,,,
"MEAN#2",,,,,"Negativ",,,
"MEAN#3",,,,,,,,
"MEAN#4",,,,,,,,
"MEAN#5",,,,,,,,
"MEAN#6",,,,,,,,
"MEAN#7",,,,,,,,
"MEAN#8",,,,,,,,
"MEANING",,,,,,,,
"MEANINGFUL","Positiv",,,,,,,
"MEANINGLESS",,,,,"Negativ","Weak",,
"MEANT",,,"Active",,,,,
"MEANTIME",,,,,,,,
"MEANWHILE",,,,,,,,
"MEASURABLE","Positiv",,,,,,,
"MEASURE#1",,,"Active",,,,,
"MEASURE#2",,,"Active",,,,,
"MEASURE#3",,,,,,,,
"MEASURE#4",,"Strong",,,,,,
"MEASURE#5",,,,,,,,
"MEASURE#6",,,"Active",,,,,
"MEASURE#7",,,,,,,,
"MEASURELESS",,,,,,,,
"MEASUREMENT",,,"Active",,,,,
"MEAT",,,,,,,,"Object"
"MECHANIC",,,,"Role",,,,
"MECHANISM",,,,,,,,"Object"
"MEDAL",,,,,,,,"Object"
"MEDDLE",,,"Active",,"Negativ",,,
"MEDIA",,,,,,,,
"MEDIATE","Positiv",,"Active",,,,,
"MEDIATION",,,,,,,,
"MEDIATOR",,,,,,,,
"MEDICAL",,,,,,,,
"MEDICARE",,,,,,,,
"MEDICINE#1",,,,,,,,"Object"
"MEDICINE#2",,,,,,,,
"MEDIEVAL",,,,,,,,
"MEDIOCRE",,,,,"Negativ","Weak",,
"MEDITATION","Positiv",,,,,,,
"MEDITERRANEAN",,,,,,,,
"MEDIUM",,,,,,,,
"MEEK",,,,,"Negativ","Weak",,
"MEET#1",,,"Active",,,,,
"MEET#2",,,"Active",,,,,
"MEET#3",,,"Active",,,,,
"MEET#4",,,,,,,,
"MEET#5","Positiv",,,,,,,
"MELANCHOLY",,,,,"Negativ",,,
"MELLOW","Positiv",,,,,,,
"MELODRAMATIC",,,,,"Negativ",,,
"MELODY","Positiv",,,,,,,
"MELT",,,,,,"Weak",,
"MEMBER",,,,"Role",,,,
"MEMBERSHIP",,,,,,,,
"MEMORABLE","Positiv",,,,,,,
"MEMORY#1",,,,,,,,
"MEMORY#2",,,,,,,,
"MEN",,,,"Role",,,,
"MENACE",,"Strong","Active",,"Negativ",,,
"MEND","Positiv",,"Active",,,,,
"MENIAL",,,,,"Negativ","Weak",,
"MENTAL",,,,,,,,
"MENTALITY",,,,,,,,
"MENTION#1",,,,,,,"Passive",
"MENTION#2",,,,,,,,
"MENTOR","Positiv",,,"Role",,,,
"MERCHANDISE",,,,,,,,"Object"
"MERCHANT",,,,"Role",,,,
"MERCHANTILE",,,,,,,,
"MERCIFUL","Positiv",,,,,,,
"MERCILESS",,"Strong",,,"Negativ",,,
"MERCY","Positiv",,,,,,,
"MERE#1",,,,,,"Weak",,
"MERE#2",,,,,,"Weak",,
"MERGE",,,,,,,,
"MERGER",,,,,,,,
"MERIT#1","Positiv",,,,,,,
"MERIT#2","Positiv","Strong",,,,,,
"MERITORIOUS","Positiv",,,,,,,
"MERRILY","Positiv",,,,,,,
"MERRIMENT","Positiv",,,,,,,
"MERRY","Positiv",,,,,,,
"MESH","Positiv",,"Active",,,,,
"MESS#1",,,,,"Negativ",,,
"MESS#2",,,,,"Negativ",,,
"MESS#3",,,,,,,,
"MESSAGE",,,,,,,,
"MESSENGER",,,,,,,,
"MET#1",,,,,,,,
"METAL",,,,,,,,"Object"
"METAPHYSICAL",,,,,,,,
"METAPHYSICS",,,,,,,,
"METEOR",,,,,,,,
"METEORITE",,,,,,,,
"METER",,,,,,,,
"METHOD",,,,,,,,
"METHODICAL",,"Strong",,,,,,
"METICULOUS","Positiv",,,,,,,
"METROPOLIS",,,,,,,,
"METROPOLITAN",,,,,,,,
"MEXICAN",,,,,,,,
"MEXICO",,,,,,,,
"MICE",,,,,,,,
"MICHIGAN",,,,,,,,
"MIDDLE",,,,,,,,
"MIDDLE-CLASS",,,,,,,,
"MIDNIGHT",,,,,,,,
"MIDST",,,,,,,,
"MIGHT#1",,,,,,,,
"MIGHT#2",,"Strong",,,,,,
"MIGHTY","Positiv","Strong",,,,,,
"MIGRATION",,,,,,,,
"MILD","Positiv",,,,,,,
"MILE",,,,,,,,
"MILITARY",,"Strong",,,,,,
"MILITIA",,"Strong",,,,,,
"MILK",,,,,,,,"Object"
"MILL#1",,,,,,,,
"MILL#2",,,,,,,"Passive",
"MILL#3",,,"Active",,,,,
"MILLER",,,,"Role",,,,
"MILLION",,,,,,,,
"MILLIONTH#1",,,,,,,,
"MIND#1",,,,,,,,
"MIND#2",,,,,,,,
"MIND#3",,,,,,"Weak",,
"MIND#4",,,,,,,,
"MIND#5",,,,,,,,
"MIND#6",,,,,,,,
"MIND#7",,,,,,,,
"MIND#8",,,,,,,,
"MIND#9",,,,,"Negativ","Weak","Passive",
"MIND#_10","Positiv",,,,,,,
"MIND#_11",,,"Active",,,,,
"MIND#_12",,,,,,,,
"MIND#_13",,,,,,,,
"MIND#_14",,,,,,,,
"MINDFUL","Positiv",,,,,,,
"MINE#1",,,,,,,,
"MINE#2",,,,,,,,
"MINE#3",,"Strong",,,"Negativ",,,"Object"
"MINE#4",,,,,,,,
"MINER",,,,"Role",,,,
"MINERAL",,,,,,,,"Object"
"MINGLE",,,,,,,,
"MINIMAL",,,,,,"Weak",,
"MINIMIZE",,"Strong","Active",,,,,
"MINIMUM",,,,,,"Weak",,
"MINISTER#1",,"Strong",,"Role",,,,
"MINISTER#2",,"Strong",,"Role",,,,
"MINISTER#3",,,,"Role",,,,
"MINISTER#4","Positiv",,"Active",,,,,
"MINISTERIAL",,,,,,,,
"MINISTRY",,"Strong",,,,,,
"MINNESOTA",,,,,,,,
"MINOR",,,,,,"Weak",,
"MINORITY",,,,,,"Weak",,
"MINT","Positiv",,,,,,,
"MINUS",,,,,,,,
"MINUTE",,,,,,,,
"MINUTEMEN",,,,"Role",,,,
"MIRACLE","Positiv",,,,,,,
"MIRACULOUS","Positiv",,,,,,,
"MIRROR",,,,,,,,"Object"
"MIRTH","Positiv",,,,,,,
"MISBEHAVE",,,"Active",,"Negativ",,,
"MISBEHAVIOR",,,"Active",,"Negativ",,,
"MISCARRIAGE",,,,,,,,
"MISCHIEF",,,"Active",,"Negativ",,,
"MISCHIEVOUS",,,"Active",,"Negativ",,,
"MISER",,,,"Role","Negativ",,,
"MISERABLE",,,,,"Negativ","Weak","Passive",
"MISERY",,,,,"Negativ","Weak","Passive",
"MISFORTUNE",,,,,"Negativ","Weak","Passive",
"MISGUIDE#1",,,,,,,,
"MISGUIDE#2",,,,,,,,
"MISHANDLE",,,"Active",,"Negativ",,,
"MISHAP",,,,,"Negativ",,,
"MISINFORM",,,"Active",,"Negativ",,,
"MISINFORMED",,,,,"Negativ",,,
"MISLEAD",,,"Active",,"Negativ",,,
"MISLED",,,,,,,,
"MISMANAGEMENT",,,,,,,,
"MISREPRESENT",,,"Active",,"Negativ",,,
"MISS#1",,,,,"Negativ","Weak",,
"MISS#2",,,,"Role",,,,
"MISS#3",,,,,,"Weak","Passive",
"MISS#4",,,,,,,,
"MISS#5",,,,,,,,
"MISSILE",,"Strong",,,,,,"Object"
"MISSION",,,,,,,,
"MISSIONARY",,,"Active","Role",,,,
"MISSISSIPPI",,,,,,,,
"MISSOURI",,,,,,,,
"MIST",,,,,,,,
"MISTAKE#1",,,,,"Negativ",,"Passive",
"MISTAKE#2",,,,,"Negativ",,"Passive",
"MISTAKE#3",,,,,"Negativ",,"Passive",
"MISTAKEN",,,"Active",,"Negativ",,,
"MISTER",,,,"Role",,,,
"MISTOOK",,,,,,,,
"MISTREAT",,,,,,,,
"MISTREATMENT",,,,,,,,
"MISTRESS",,,,,,,,
"MISTRUST",,,"Active",,"Negativ",,,
"MISUNDERSTAND",,,,,"Negativ",,"Passive",
"MISUNDERSTANDING",,,,,"Negativ",,,
"MISUNDERSTOOD",,,,,"Negativ",,"Passive",
"MISUSE",,,,,"Negativ",,,
"MITIGATE",,,,,,,,
"MIX#1",,,"Active",,,,,
"MIX#2",,,,,,,"Passive",
"MIX#3",,,,,"Negativ","Weak","Passive",
"MIX#4",,,,,,"Weak","Passive",
"MIX#5",,,,,,,,"Object"
"MIXTURE",,,,,,,,
"MOAN",,,"Active",,"Negativ",,,
"MOB",,,,,,,,
"MOBILE",,"Strong","Active",,,,,
"MOBILITY","Positiv",,,,,,,
"MOBILIZE","Positiv",,"Active",,,,,
"MOCK",,,"Active",,"Negativ",,,
"MOCKERY",,,,,"Negativ",,,
"MODE",,,,,,,,
"MODERATE","Positiv",,,,,,,
"MODERATION","Positiv",,,,,,,
"MODERN#1",,,,,,,,
"MODERN#2",,,,,,,,
"MODERNITY","Positiv",,,,,,,
"MODERNIZATION",,,,,,,,
"MODEST","Positiv",,,,,"Weak",,
"MODESTY","Positiv",,,,,,,
"MODIFICATION",,,"Active",,,,,
"MODIFY",,"Strong","Active",,,,,
"MOISTURE",,,,,,,,
"MOLD#1",,,,,,,,"Object"
"MOLD#2",,"Strong","Active",,,,,
"MOLECULAR",,,,,,,,"Object"
"MOLEST",,,"Active",,"Negativ",,,
"MOMENT",,,,,,,,
"MOMENTARY",,,,,,"Weak",,
"MOMENTOUS","Positiv",,,,,,,
"MOMENTUM",,"Strong",,,,,,
"MONARCH",,,,,,,,
"MONARCHY",,,,,,,,
"MONDAY",,,,,,,,
"MONETARY",,,,,,,,"Object"
"MONEY",,,,,,,,"Object"
"MONGOLIA",,,,,,,,
"MONITOR",,"Strong",,,,,,
"MONKEY",,,,,,,,
"MONOPOLY",,"Strong",,,,,,
"MONOTONOUS",,,,,"Negativ",,,
"MONOTONY",,,,,"Negativ",,,
"MONSTER",,"Strong",,,"Negativ",,,
"MONSTROUS",,"Strong",,,"Negativ",,,
"MONTANA",,,,,,,,
"MONTH#1",,,,,,,,
"MONTH#2",,,,,,,,
"MONTH#3",,,,,,,,
"MONUMENT",,"Strong",,,,,,"Object"
"MONUMENTAL","Positiv",,,,,,,
"MOOD",,,,,,,"Passive",
"MOODY",,,,,"Negativ",,,
"MOON",,,,,,,,
"MORAL","Positiv",,,,,,,
"MORALE","Positiv",,,,,,,
"MORALISTIC","Positiv",,,,,,,
"MORALITY","Positiv",,,,,,,
"MORE",,"Strong",,,,,,
"MOREOVER",,,,,,,,
"MORNING",,,,,,,,
"MOROCCO",,,,,,,,
"MORTALITY",,,,,,,,
"MORTAR",,,,,,,,"Object"
"MORTGAGE#1",,,,,,,,
"MORTGAGE#2",,,,,,,,
"MORTIFY",,,,,"Negativ",,"Passive",
"MOSCOW",,,,,,,,
"MOST#1",,"Strong",,,,,,
"MOST#2",,"Strong",,,,,,
"MOST#3",,"Strong",,,,,,
"MOST#4",,,,,,,,
"MOTEL",,,,,,,,
"MOTH",,,,,,,,
"MOTHER",,,,"Role",,,,
"MOTION",,,"Active",,,,,
"MOTIONLESS",,,,,"Negativ",,,
"MOTIVATE","Positiv",,"Active",,,,,
"MOTIVATED","Positiv",,"Active",,,,,
"MOTIVATION","Positiv",,"Active",,,,,
"MOTIVE","Positiv",,"Active",,,,,
"MOTLEY",,,,,"Negativ",,,
"MOTOR",,,,,,,,"Object"
"MOTORIST",,,,"Role",,,,
"MOTTLED",,,,,,,,
"MOUND",,,,,,,,
"MOUNT#1",,,,,,,,
"MOUNT#2",,,"Active",,,,,
"MOUNTAIN",,,,,,,,
"MOURN#1",,,,,"Negativ","Weak","Passive",
"MOURN#2",,,,,"Negativ","Weak","Passive",
"MOURNER",,,,"Role","Negativ",,,
"MOUSE",,,,,,,,
"MOUTH#1",,,,,,,,
"MOUTH#2",,,,,,,,
"MOUTH#3",,,,,,,,
"MOUTH#4",,,,,,,,
"MOVABLE",,,,,,,"Passive",
"MOVE#1",,"Strong","Active",,,,,
"MOVE#2",,"Strong","Active",,,,,
"MOVE#3",,"Strong","Active",,,,,
"MOVE#4",,"Strong",,,,,,
"MOVE#5",,,"Active",,,,,
"MOVEMENT",,"Strong","Active",,,,,
"MOVER",,"Strong","Active","Role",,,,
"MOVIE",,,,,,,,"Object"
"MOZAMBIQUE",,,,,,,,
"MPH",,,,,,,,
"MR.",,,,"Role",,,,
"MRS.",,,,"Role",,,,
"MS.",,,,"Role",,,,
"MUCH",,"Strong",,,,,,
"MUD",,,,,,,,"Object"
"MUDDLE",,,"Active",,"Negativ",,,
"MUDDY",,,,,"Negativ",,,
"MUFFLE#1",,,"Active",,,,,
"MUFFLE#2",,"Strong","Active",,,,,
"MULE",,,,,,,,
"MULTILATERAL-FORCE",,,,,,,,
"MULTIPLE",,"Strong",,,,,,
"MULTIPLICATION",,"Strong",,,,,,
"MULTIPLY",,"Strong","Active",,,,,
"MULTITUDE","Positiv",,,,,,,
"MUMBLE",,,,,"Negativ",,,
"MUNDANE",,,,,"Negativ",,,
"MUNICIPAL",,,,,,,,
"MUNICIPALITY",,,,,,,,
"MUNITION",,,,,,,,"Object"
"MURDER#1",,"Strong","Active",,"Negativ",,,
"MURDER#2",,"Strong","Active",,"Negativ",,,
"MURDERER",,,,,,,,
"MURDEROUS",,,,,"Negativ",,,
"MURKY",,,,,"Negativ",,,
"MURMUR#1",,,,,,"Weak",,
"MURMUR#2",,,,,,"Weak",,
"MUSCLE",,"Strong",,,,,,
"MUSCULAR",,"Strong",,,,,,
"MUSEUM",,,,,,,,
"MUSIC",,,,,,,,
"MUSICAL",,,,,,,,
"MUSICIAN",,,,"Role",,,,
"MUST#1",,,,,,,,
"MUST#2",,,,,,,,
"MUSTER",,"Strong","Active",,,,,
"MUTTER",,,,,"Negativ","Weak",,
"MUTTON",,,,,,,,"Object"
"MUTUAL#1","Positiv",,,,,,,
"MUTUAL#2","Positiv",,,,,,,
"MY",,,,,,,,
"MYRIAD","Positiv",,,,,,,
"MYSELF#1",,,,,,,,
"MYSELF>#1",,,,,,,,
"MYSELF>#2",,,,,,"Weak",,
"MYSELF>#3",,,,,"Negativ","Weak","Passive",
"MYSTERIOUS",,,,,,,,
"MYSTERY",,,,,,,,
"MYSTIC",,,,,,,,
"MYSTICAL",,,,,,,,
"MYTH",,,,,,,,
"NAG#1",,,,,,,,
"NAG#2",,,"Active",,"Negativ",,,
"NAIL#1",,,,,,,,"Object"
"NAIL#2",,,"Active",,,,,
"NAIVE",,,,,"Negativ","Weak","Passive",
"NAKED",,,,,,,,
"NAME#1",,,,,,,,
"NAME#2",,,,,,,,
"NAME#3",,,,,,,,
"NAME#4",,,,,,"Weak","Passive",
"NAME#5",,,,,,,,
"NAME#6",,,,,,,,
"NARRATIVE",,,,,,,,
"NARROW",,,,,,"Weak",,
"NASTY",,,,,"Negativ",,,
"NATION",,,,,,,,
"NATIONAL",,,,,,,,
"NATIONALISM",,,,,,,,
"NATIONALIST",,,,,,,,
"NATIONALISTIC",,,,,,,,
"NATIONALITY",,,,,,,,
"NATIVE#1",,,,"Role",,,,
"NATIVE#2",,,,"Role",,,,
"NATURAL#1","Positiv",,,,,,,
"NATURAL#2","Positiv",,,,,,,
"NATURALIZATION",,,,,,,,
"NATURE#1",,,,,,,,
"NATURE#2",,,,,,,,
"NAUGHTY",,,,,"Negativ",,,
"NAVAL",,"Strong",,,,,,
"NAVIGABLE","Positiv",,,,,,,
"NAVIGATION",,,,,,,,
"NAVY",,"Strong",,,,,,
"NAY",,,,,,,,
"NAZI",,,,,,,,
"NEAR#1",,,,,,,,
"NEAR#2",,"Strong",,,,,,
"NEAR#3",,,,,,,,
"NEAR#4",,,,,,,,
"NEAR#5",,,,,,,,
"NEAR#6",,,,,,,,
"NEAR#7",,,"Active",,,,,
"NEARBY",,,,,,,,
"NEAT","Positiv",,,,,,,
"NEBRASKA",,,,,,,,
"NEBULOUS",,,,,"Negativ",,,
"NECESSARILY","Positiv",,,,,,,
"NECESSARY#1",,"Strong",,,,,,
"NECESSARY#2",,"Strong",,,,,,
"NECESSARY#3",,"Strong",,,,,,
"NECESSITATE",,"Strong",,,,,,
"NECESSITY",,"Strong",,,,,,
"NECK",,,,,,,,
"NEED#1",,,,,"Negativ","Weak","Passive",
"NEED#2",,,,,"Negativ","Weak","Passive",
"NEED#3",,,,,"Negativ",,"Passive",
"NEEDLE#1",,,,,,,,"Object"
"NEEDLE#2",,,"Active",,"Negativ",,,
"NEEDY",,,,,"Negativ","Weak",,
"NEGATE",,,,,"Negativ",,,
"NEGATION",,,,,"Negativ",,,
"NEGATIVE",,,,,"Negativ",,,
"NEGLECT#1",,,,,"Negativ",,,
"NEGLECT#2",,,,,"Negativ",,,
"NEGLIGENCE",,,,,"Negativ",,,
"NEGLIGENT",,,,,"Negativ",,,
"NEGLIGIBLE",,,,,,"Weak",,
"NEGOTIATE","Positiv",,"Active",,,,,
"NEGOTIATION",,,,,,,,
"NEGOTIATOR",,,,,,,,
"NEGRO",,,,"Role",,,,
"NEIGHBOR#1",,,,"Role",,,,
"NEIGHBOR#2",,,,,,,,
"NEIGHBORHOOD",,,,,,,,
"NEIGHBOUR#1",,,,,,,,
"NEIGHBOURHOOD#1",,,,,,,,
"NEITHER",,,,,,,,
"NEPAL",,,,,,,,
"NEPHEW",,,,"Role",,,,
"NERVE",,"Strong",,,,,,
"NERVOUS",,,,,"Negativ","Weak","Passive",
"NERVOUSNESS",,,,,"Negativ","Weak",,
"NEST",,,,,,,,"Object"
"NETHERLANDS",,,,,,,,
"NETWORK",,"Strong",,,,,,
"NEUROSIS",,,,,,,,
"NEUROTIC",,,,,"Negativ",,,
"NEUTRAL",,,,,,,"Passive",
"NEUTRALISM",,,,,,,,
"NEUTRALITY",,,,,,,,
"NEUTRALIZE",,"Strong","Active",,"Negativ",,,
"NEVADA",,,,,,,,
"NEVER",,,,,,,,
"NEVERTHELESS",,,,,,,,
"NEW#1",,"Strong",,,,,,
"NEW#2",,,,,,,,
"NEW#3",,"Strong",,,,,,
"NEW#4",,"Strong",,,,,,
"NEW#5",,"Strong",,,,,,
"NEW#6",,,,,,,,
"NEW#7",,,,,,,,
"NEW#8",,,,,,,,
"NEW#9",,,,,,,,
"NEW-MEXICAO",,,,,,,,
"NEWBORN",,,,,,"Weak",,
"NEWCOMER",,,,,,,,
"NEWSMEN",,,,"Role",,,,
"NEWSPAPER",,,,,,,,"Object"
"NEWSPAPERMAN",,,,"Role",,,,
"NEXT#1",,,,,,,,
"NEXT#2",,,,,,,,
"NEXT#3",,,,,,,,
"NICARAGUA",,,,,,,,
"NICE#1","Positiv",,,,,,,
"NICE#2","Positiv",,,,,,,
"NICE#3","Positiv",,,,,,,
"NICE#4","Positiv",,,,,,,
"NICHE","Positiv",,,,,,,
"NICKEL",,,,,,,,"Object"
"NICKNAME",,,,,,,,
"NIGERIA",,,,,,,,
"NIGERS",,,,,,,,
"NIGGER",,,,"Role",,,,
"NIGHT#1",,,,,,,,
"NIGHT#2",,,,,,,,
"NIGHTMARE",,,,,"Negativ",,,
"NIHILISM",,,,,,,,
"NIHILISTIC",,,,,,,,
"NIMBLE","Positiv","Strong",,,,,,
"NINE",,,,,,,,
"NINETEEN",,,,,,,,
"NINETEENTH#1",,,,,,,,
"NINETIETH#1",,,,,,,,
"NINETY",,,,,,,,
"NINTH#1",,,,,,,,
"NIX",,,,,"Negativ",,,
"NIXON",,,,,,,,
"NO#1",,,,,,,,
"NO#2",,,,,,,,
"NO#3",,,,,,,,
"NO#4",,,,,,,,
"NO#5",,,,,,,,
"NO#6",,,,,,,,
